sample_uid,gold_label,comment,source,script
39365,none,আস সালামু আলাইকুম প্রিওদিন দার ভাই বোনেরা সাঈদিসাব আজ দশ বছর জুলুমদের জেল খানায় বন্দি ইতো দিন পরে এইকথা শুনলামনা এখন কি ভাবে এই কথা বিশ্যাষ হবে ।যিনি এই কথা গুলি বল্যেন আমার মোনে হয় ওনি ইকটা নাস্ত্রিক যে লোক এটাকে ছরেয়েছেন তিনি হোলো ওনার অভৈদো ঝারঝ সন্তান এদের বিচার দুনিয়াতে হবে ইনশাআল্লাহ আমরা আল্লাহর বিচারের অফেক্ষায় আছি আমিন,facebook_44001,bangla
25160,sexual,"পাবলিক বাপ্পি সায়মনদেরকেও খায়না আর উনি হিরো আলম দুইটা মুভি করে জনপ্রিয় হতে চায় ইলেকশনে ফেল করেও ফেসবুক নাম দিছে এমপি হিরো আলম এইসব ছাগল মার্কা আবাল পাব্লিকদের হাসাইতে জানে,,আর কিছুনা",facebook_44001,bangla
29334,sexual,"মাগী!! আল্লাহ্ তো সব জানেই, কিন্তু তুই জানোস না ফেরেশতা রা তরে কোন দিক দিয়ে বাশঁ দিবো",facebook_44001,bangla
14432,abusive,কি বলে এতো পাগল হয়ে গেছে,facebook_44001,bangla
29377,religious,"সাফা কবির,আপনি কি আপনার মা-বাবাকে যৌণ সঙ্গম করতে দেখেছেন?না দেখে কিভাবে উনাদেরকে মা বাবা মেনে নিচ্ছেন??আপনার মা কে জিজ্ঞাস করে নিয়েন যাকে আপনি বাবা ডাকছেন উনি আপনার আসল বাবা কিনা,নাকি অন্য কেউ আছে??কারণ আপনিতো না দেখে কিছু বিশ্বাস করেন নাহ.সাফা কবির যে কিনা মুসলিম হয়েও পরকালে বিশ্বাস করেনা।নব্য নাস্তিক সবাই বয়কট করুন সাফাকে।",facebook_44001,bangla
28504,religious,আসুন সাফা ক বির কে সবাই বয়কট করি।। দেশের ন তুন নাস্তিক।,facebook_44001,bangla
27598,religious,এই নাস্তিক তুই কই বাপের জন্ম নিয়েছো,facebook_44001,bangla
52706,abusive,দিবা জান,multilabel_12557,bangla
57639,none,[EMOJI] manush k kto kosto krte hy,banth,romanized
4566,none,অপু মত খারাফ মেয়ের সাথে সংসার করা যায় না,bd_shs,bangla
18389,none,নিজেরা যে ব্যাংক ডাকাত ঝাইনজোর নিন্দা করে খই চালা,facebook_44001,bangla
72963,none,Banladesh ase na keno tar sasti porojon,banth,romanized
75878,none,Tomra ke korso r ke paro jokhon America dokhol korbay tokhon parlay America er val falio. Tomader bebohar kora hoisay r akon o bebohar hocho Koidin por tomra tomra e juddo korba lekhay rakbo,banth,romanized
21416,none,সুপার হিরো।।,facebook_44001,bangla
80146,none,Kichu dustu ansarer jonno ai sadaron gula faisa gelo,banth,romanized
53201,sexual,এই জুগে ছেলে পিলেদে এতো মুটা মুটা হয় কি করে,multilabel_12557,bangla
81471,none,Bongobondhu ki r ace. ?Or beti tw valo na,banth,romanized
78234,none,dabi mancn tik butt shamy thakte manen nii,banth,romanized
7177,none,স্বাধীন দয়াল আমিও আছি গনতন্রের সাথে ।।,facebook_44001,bangla
3017,religious,এই মাদারচুদ হল একটা নাস্তিক। খাংকির পুত। তার জন্মের কোন ঠিক নেই।,bd_shs,bangla
13890,abusive,তলে তলে এই কাজ করো নাকি??,facebook_44001,bangla
53778,threat,তোরে তো সামনে পেলে ছেড়া জুতা পেটা করতাম,multilabel_12557,bangla
42443,none,এগূলো দেখানো কি ঠিক ভাইয়া ?? আমরা আমাদের প্রিয় শিল্পীর কাছে এগূলো আশা করি নি,facebook_44001,bangla
35057,sexual,লিংকটি দিও। সাবস্ক্রাইব কইরালামু,facebook_44001,bangla
26392,sexual,আজকে মনটা ভাল গালি দিব না।তবে অনুরোধ খানকিরে গালি দেওয়া অফ করবেন না।,facebook_44001,bangla
45093,none,এসব দেখলেই বিয়ে করতে ইচ্ছে করে(২),facebook_44001,bangla
93296,sexual,আর যায়গা পাইলো না,multilabel_12557,bangla
58835,none,Here boy paice [EMOJI],banth,romanized
70507,none,Bibeg ondho lok era,banth,romanized
27770,none,"তোমার তো আল্লাহর কাছে বিচার দেওয়া ঠিক না। তুমি তো আল্লাহ কে দেখ নাই। তুমি খুব বড় ভূল করেছ। আমাদের কাছে ক্ষমা চাওয়ার কিছু নাই। খারাপ কখনো ভালো হয় না। তবুও আল্লাহ তোমার হেদায়েত করুন। ভালো থাক, ভালো ভাবে চল। আর আমার কথার জন্য তোমার খারাপ লেগে থাকলে। আমি সরি।",facebook_44001,bangla
57205,abusive,Saraf eakta potaita shiti.,banth,romanized
43973,abusive,তোর বালে ছবি দেখতে গিয়ে মানুষ মরবে নাকি রে বোকা পাগল তুই হিরো না বাল,facebook_44001,bangla
41652,none,মাশাল্লাহ। মহৎ উদ্যোগ।,facebook_44001,bangla
62243,abusive,Tui akta chor,banth,romanized
39867,sexual,খানকি মাগি।তর মায়েরে আমি চুদছি এইটা তুই জানস তাও তুই বললি আমি নাকি তর বাবা না??চুত্মারানি,facebook_44001,bangla
33288,sexual,শালার কই যে যাইরবিন্দ্রনাথ রেও ছাড়ে নাই। আসলেই জ্বীন পরিরে বিশ্বাস নাই,facebook_44001,bangla
57147,none,"Tomake dekhe mone hoy j, kothaow jeno bampanthi, bampanthi bepar , Kon panthi ra jeno murti ke Biswas kore na ? Tay mujebure Rahaman er murti demolish karechow , ( Hy re Chinese Bangladesh ta ki karli ) . Ey rokam namuna India te amara khub parichita",banth,romanized
11543,religious,"কুরআনে আল্লাহ বলেন.. যারা জানে আর যারা জানে না তারা উভয়ই সমান নয়। সাফা কবির হয়তো পরকালের বিষয়ে অজ্ঞ আর নয়তো পিতামাতার দ্বারা নাস্তিকদের পদাঙ্ক অনুসরণ করেছে। আপনি সাফা কবিরকে বলুন! ধরেন তর্কের খাতিরে মেনে নিলাম, পরকাল বলতে কিছু নেই। এখন পরকাল আছে মনেকরে যদি দুনিয়াতে ভালোকাজ করি, মন্দ কাজ থেকে দূরে থাকি, তাহলে লাভটা কার? সে নিশ্চিত উত্তর দিবে আমার। এরপর আপনি বলুন, নিজের ভালোতো পাগলেও বুঝে, আপনিতো সুস্থ মানুষ। নিজের ভালোটা বুঝবেন না কেন?আর তাকে নিয়ে কিছু মানুষ অনেককিছু বলতেছে। কুরআনে মহান আল্লাহ বলেন, অধিকাংশ মানুষই নিজেদের খেয়ালখুশির অনুসরণ করে। মানুষকে তোমার প্রতিপালকের পথে আহবান করো হিকমাহও সদুপদেশ দ্বারা এবং তাদের সাথে তর্ক করো উত্তম পন্থায়। আশাকরি আর কিছু বলতে হবে না।",facebook_44001,bangla
43588,abusive,এদেরকে গাজা দেয়কে,facebook_44001,bangla
94255,sexual,আপুর দুধ সরকারী নাকি আমরা কি একটু হাত দিতে পারব বিড়ালের ধরলে মজা নাকি,multilabel_12557,bangla
71319,none,Oi Police manusher bacchha na. Fasi chai.,banth,romanized
84919,none,"Amio akmot jara amader moto nimno kormo charider babohar kore nijeder pod vari korese r amader jibon r familir sobai k bipodgosto kore nijera nirapod jaigai chole gese please tader k dhore ainer autai anar jonno satro somajer kase amar akul abedon please, ei harun,biplob eder kothin theke kothinotomo sasti dewa hok",banth,romanized
42782,none,"তারপরও ভালো ভাবে চিনতে পারেন নি ভ্রো!!তার নাম জাহিদ নয়,জায়েদ খান!!",facebook_44001,bangla
24244,sexual,তোরে জনি সিন্স রে দিয়া চুদাইতে হয়ব,facebook_44001,bangla
74320,abusive,Hawyar alap paro [EMOJI],banth,romanized
44281,none,এ ত দেখি পুরাই তামাশা।।,facebook_44001,bangla
39494,religious,নাস্তিক অমুসলিম বেদ্বিন বেঈমান আল্লাহ আপনি আমাদের সবাইকে হিফাজত করুন ইমান আমল নিয়ে জীবন যাপন করার তৌফিক দীন আপনি আমাদের সবাইকে সহীহ্ বোঝ দীন আমিন,facebook_44001,bangla
38987,abusive,কথা কি ভাবে ইডিয়ট করতে হয় তাও জানো না। সারা জীবন সাঈদীর পিছনে লেগে থাক আর পিছনে থাকতে হবে,facebook_44001,bangla
53275,abusive,আরে বোন আ আর একটু দেকিয়ে দেও তুমি যে ওয়ার্ল্ড আর বড় লিজে্ন্দ,multilabel_12557,bangla
57769,none,Banglay tader din mojur bole..Bangladesh e sob elekay e manus evabe bari bananor jonno mistri niye jay..hassokor sironam,banth,romanized
80552,abusive,Tomake coddeo jane,banth,romanized
35236,abusive,"যদি বৌউ সাজোগো আর সুন্দর লাগবে গো,",facebook_44001,bangla
83285,none,shabash polish bhai ..haron der dhoren,banth,romanized
39649,sexual,নুনুবেলের বিচি দুইটা জাদুঘরে রেখে দেওয়া হোক।,facebook_44001,bangla
87357,none,sylhet maha fashion noyasorok ekta obijan koren .aigula o 2 no kortese,banth,romanized
51855,abusive,বেগুন যদি আগুন হয় তাইলে আগুর রে কি কইবো,multilabel_12557,bangla
3277,abusive,"জাফর ইকবাল শতভাগ ভুয়া,হাজার ভাগ মিথ্যাবাদী, লক্ষ ভাগ ভন্ড, কোটি ভাগ স্বৈরাচারের দালাল । যা উল্লেখ করলাম তার প্রতিটি গুণ তার এই লেখায় আছে।",bd_shs,bangla
5336,none,বেয়াদ্ধব তুই কি লিখলি আর কি বল্লি ৷,bd_shs,bangla
4305,abusive,মিতিলা একজন বেষ্যা,bd_shs,bangla
75945,none,Jajakallah khairan youngstars. You guys making are so proud.,banth,romanized
23385,sexual,তোর ভোদার ভিতর বাশ দিমু মাগি,facebook_44001,bangla
67507,abusive,Duita janoyar Todr jutar bari dileo hoy na Manus ato ktha ble Morte paro na,banth,romanized
55056,none,Outhit Shikkha paice [EMOJI],banth,romanized
43648,none,"মাসা আল্লাহ্,,",facebook_44001,bangla
51917,abusive,পেকাটি,multilabel_12557,bangla
83847,none,Akbare sotik kotha bolcen vaiya amio ak mot,banth,romanized
58590,none,ai police kothay,banth,romanized
62647,none,dese police sobceye.. force..Army der deser amn daitte dewa uchit,banth,romanized
65210,abusive,Dui mukho shap,banth,romanized
65866,abusive,Koi sathe silen dalali korsen,banth,romanized
94132,abusive,বিড়াল কে ও আর আইবুড়ো রাখলো না খারাপ এর সাথে থেকে তার ও সতিত্ব টা নস্ট করে দিলো,multilabel_12557,bangla
66976,none,[EMOJI] hashi pacha new [EMOJI] aa purano moth,banth,romanized
27168,abusive,বেয়াদবের বাচ্চা,facebook_44001,bangla
38540,none,"হালায় তো দেখতাছি জনি দারে হার মানাবে,,প্রতিবা আছে বলাই যায়",facebook_44001,bangla
78488,none,Onek dam Kore diyechen jinisher,banth,romanized
91154,abusive,ফালতু মেয়ে,bd_shs,bangla
43113,abusive,তোর হেডা,facebook_44001,bangla
56263,abusive,Eder ke dhore gonodholai deya uchit chelo,banth,romanized
1311,abusive,আমি মনে করি যারা এইগুলাতে অডিশন দিতে যায় তারাই আসল ভোদাই। এই টুকু কমোন সেন্স নাই তাদের যে তারা এইটা চিন্তা করে না যারা তাদের জর্জ তারাই তো জিবনে অডিশন দিয়া মিডিয়াতে আসে নাই তো তারা কিভাবে অডিশন নিবে অন্য মানুষের। বাংলাদেশের বর্তমান কিছু মিডিয়ার মানুষ হল বোকাচোদা।,bd_shs,bangla
4460,abusive,সালা একটা মাদার চোদ,bd_shs,bangla
12083,none,কোবা,facebook_44001,bangla
62536,abusive,khankir polar chehara ta china rakhlam InshaAllah ekdin dekha hobe,banth,romanized
89275,none,sob bichar hobe,banth,romanized
65740,abusive,Tui nunu kete dewya hobe,banth,romanized
85241,abusive,"Mukti Joddha holei Ki awamilig ?money hai na,sob dolei mukti Joddha poribar acey.",banth,romanized
19661,none,একটুও ভালো লাগেনি।আগে আপনার নাটক খুব ভালো লাগতো বাট এখন কেন জানি একটুও লাগেনা,facebook_44001,bangla
6458,sexual,তুমি কি নায়লা নাইম কে ফলো করতেছ ছুট আপু?,facebook_44001,bangla
84300,abusive,Where is hawoon uncle ?,banth,romanized
3958,abusive,জানোয়ার সালা নিজে বাবা সাথে এরকম ব্যবহার করে,bd_shs,bangla
49830,none,একদম সত্যি কথা বলছেন রুমিন ম্যাডাম,multilabel_12557,bangla
80812,none,Sumon tor date aisay [EMOJI],banth,romanized
86387,none,Satroleg k thanks [EMOJI],banth,romanized
9565,religious,তাইলে মর তুই তারপর বুঝবি,facebook_44001,bangla
42381,none,সেরা ছবি,facebook_44001,bangla
69636,abusive,Toi kottar bacca,banth,romanized
43727,none,সুপারম্যান,facebook_44001,bangla
38613,none,কমেন্ট পড়তে আসছি [EMOJI],facebook_44001,bangla
59801,abusive,Amar mone hocche etogula manush mere tar por o hasinar kono onushochona hoynai lojjito hoynai ..nunnotomo lojjanai ..ei naki bongo bondhur meye ..chi chi [EMOJI],banth,romanized
90883,abusive,Vhi ore keo mare nai??,banth,romanized
93952,none,আপু অ্যাপস এর নাম কি,multilabel_12557,bangla
78997,none,Natok kom koro piyo [EMOJI] ki emotional akta scene dilo vaire vai pm na hoile confirm Bollywood eh acting eh chance paito ..,banth,romanized
76222,abusive,Ey dig police awameleg. Oreh latthe deye beday koren,banth,romanized
89109,none,Mamla khaia asi r o koto gula dibe,banth,romanized
47847,none,ফাষ্ট কমেন্ট পিন্ট প্লিজ রিপ্লে ভিডিও চাই প্রিয়,multilabel_12557,bangla
72509,none,"Khuni hasinake taratari ashte bolen,bichar korte home beto",banth,romanized
64447,none,Kono dhorjoi na,banth,romanized
88388,none,Prio natok kom koro [EMOJI],banth,romanized
19818,sexual,"এটাইত বাংলাদেশের রাজনিতির প্রধান নিতি, সরকারের বিরূধে কোন কিছু বললেই অনেক কিছুই হয়ে যায়, অথচ যারা ধর্ম নিয়ে উলটা পালটা কথা বলে, সৃষ্টিকরতা কে অশিকার করে তাদের কে সরকার প্রোটোকল দেয়",facebook_44001,bangla
88375,none,Kotha ghuracce sudhu.. Question kore ki r o answer kore ki .. abal,banth,romanized
87052,none,"O to desher upokar korteso ,valo [EMOJI]",banth,romanized
21967,sexual,"সবকিছুর একজন মালিক থাকে,, এবং আমাদেরও সৃষ্টির একজন মালিক রয়েছে, এটা তো সহজ হিসাব, সবাই সবাই সৃষ্টিকরতার দেখানো পথে চলে আসুন",facebook_44001,bangla
3981,threat,তর বনকে চুদি সালার মাদার চুদে বাচ্চা আজারা বগবগাস কেন,bd_shs,bangla
190,sexual,Sadi to valoi hat calay valoi tipe tire dano 2 ta sei akar dise,banth,romanized
46987,none,মেয়াডার নাম কী,multilabel_12557,bangla
43227,abusive,এই পোস্ট দেখে মনেহচ্ছে নিজের বিচিতে হাল্কা একটা টোকা দিয়া অজ্ঞান হয়ে জাই,facebook_44001,bangla
52754,none,অসাধারণ বড়ি,multilabel_12557,bangla
73828,none,Ki ki priyo desh bashi om g,banth,romanized
46117,sexual,তোর পুটকি দিয়া যখন গরম গরম সিংগারা আর সমুচা দুকাইবো তখন সব বিশ্বাস করবি,facebook_44001,bangla
67219,none,[EMOJI] je lau she kodhu,banth,romanized
25393,abusive,কথাতো ভালো করে বলতে পারিস না এর থেকে রাস্থার কুকুর অনেক দেকথে ভাল,facebook_44001,bangla
65406,none,AE sala kono somoyy mukh deya bismillahir rahmanir Rahim bole na Karon ata jiaur Rahman sonbidhan a ance but ata j islam jai anunk sonbidhan a sae geyan tuku nai,banth,romanized
18703,none,"অাল্লাহ অাপনার দাদিকে জান্নাতবাসী করুন,তারসাথে অাপনাদের এ শোক সইবার ক্ষমতা দিন৷অামিন৷",facebook_44001,bangla
29059,threat,"সে তো বলছে,সে পরকাল বিশ্বাস করে না,এখন আবার আল্লাহর কাছে বিচার দিছে,পরকাল বিশ্বাস না করা মানে,আল্লাহ এবং আমার নবীকে বিশ্বাস না করা,এতে বুঝা যায় সে না নাস্তিকএরপর আবার পোষ্ট করছে যে আমি আল্লাহর কাছে ক্ষমা চাচ্ছে এ তো পরকাল বিশ্বাস করে না,তো আল্লাহর কাছে কেন ক্ষমা চায়,এখন বুঝতএ পারছে নিজের career সম্মান সব তো শেষ হচ্ছে তাই পোষ্টটা করা হয়েছে,সুতরাং বোঝা যায় যে,এ নাস্তিক ইসলামের চুরন্ত দুষমন তাই আমি একজন মুসলিম দেশের নাগরিক হিসাবে বলছি তার উপর করা ব্যবস্থা নেওয়া হোক এবং তাকে ফাঁসি দেওয়া হোক",facebook_44001,bangla
91223,none,কাফেরদের মুখের রং সুন্দর হলে ও মন সুন্দর না। যদি পরকালের বিশ্বাস নাই বা করে এই আকাঁশের নিচে তো কোন খুটি নেই সূর্যের কোনো অফ অন করার সুইচ নেই সাগরের কোনো আয়োতন নেই এই সব বিশাল সৃষ্টি জগৎতের সৃষ্টি গুলি কে পরিচালনা করে।,facebook_44001,bangla
46215,abusive,এই মুভির পরিচালক কোন শালা এই শালা একটা পাগল নাইলে আরেকটা পাগলরে নায়ক বানাইয়া মুভি মানাইত না।,facebook_44001,bangla
89420,none,Thanks rumen farhana,banth,romanized
44446,abusive,কী পরিমাণ সুইলা মহিলা আপনি?? ছী ছি..,facebook_44001,bangla
78174,none,Surute manle kicui hotona,banth,romanized
72980,none,Vote chur cilen,banth,romanized
86896,none,Desio silpo more jacche Pakistani dress market er jnno onotibilombe Pakistani dress bondho kora hok,banth,romanized
47991,sexual,তোর মাকে লাগাব,multilabel_12557,bangla
51638,none,আল্লাহ পাক উনাকে জান্নাত নসিব করুক আমিন,multilabel_12557,bangla
84414,none,"vai apnara je ekhon etoo osohay sajtasen accha bujhlam ei koy din caape poira nahoy amadeer sathe onnay korsen kintu eii 16 bochor je amader osohay koira rakhsilen uitaa kar caape nijer icchay ee toh ghushh khaiten ,kisu hoilei taka , ami nijee foreign ministry geyechilam amr certificate gulo te sill marte , tokhn ami ektu late kore jai tokhon gate ee thaka police ek uncle er kase onek request kori jaate amk vitore dhukte dey ami tader boli oo je ami onek durr theke asci uncle please amr pokkhe klk abar ashaa onek koster hoye jabe ..cailei tini parto amk vitore jete ditee but unii ta na kore amr theke 4 hajar taka dabii kore eita ki sorkaar er caape pore korsilo ?? ami dei na porer din giyee free te slip niye amr kaaj kori .. tokhn amii dekhi foreign ministry er sob police eii kaaje juktoo unaara takar binimoyee sob kagoj sill mere dey tara uniform cng kore hut hat dhukee bar bar eii kaaj koree ar amra stuent gula ghontaar por ghontaa boshee wait korii kokhn amader serial asbee .. as a student apnader dekhlee amr ghinaa lagee , sala sob gulaa ghushh khorr manush er moddhe sob caitee nikristoo toraa chii ..toder ektakeo jani abr cakritee back korano na hoy sob notun kore police jeno select kora hoy amader student der theke jader moddhe asoleii sikkhagoto joggota ase tader jeno cakri dewa hoy notun sorkar jei hok tar kase daabii..",banth,romanized
13947,abusive,কমেন্টের চু*নে সেতো প্রেগন্যান্ট হয়ে যাবে। অাস্তে ধিরে কমেন্ট করেন ভাইলোগ।,facebook_44001,bangla
74023,none,Deshe ai aitai chai..,banth,romanized
79926,none,Pilkanar motho military ke akdin badam dawa hobay,banth,romanized
84469,religious,Sob gulo jongi,banth,romanized
2060,abusive,কুকুরের বউয়েরা অনেক সুন্দরী হয় তুর লজ্জা থাকা উচিত শালা বদমাইশ,bd_shs,bangla
54680,none,Era ki TikTok korce e gula kore ??,banth,romanized
40151,none,আগে আল্লাহ্ নবী চিনিয়ে সব বানানোও সাজানোও হতোও,facebook_44001,bangla
